24.0,48.0
46.0,92.0
97.0,194.0
21.0,42.0
66.0,132.0
58.0,116.0
13.0,26.0
6.0,12.0
54.0,108.0
17.0,34.0
18.0,36.0
27.0,54.0
0.0,0.0
4.0,8.0
41.0,82.0
12.0,24.0
74.0,148.0
77.0,154.0
66.0,132.0
74.0,148.0
77.0,154.0
58.0,116.0
57.0,114.0
52.0,104.0
30.0,60.0
75.0,150.0
63.0,126.0
38.0,76.0
0.0,0.0
10.0,20.0
11.0,22.0
31.0,62.0
24.0,48.0
47.0,94.0
43.0,86.0
91.0,182.0
59.0,118.0
75.0,150.0
45.0,90.0
6.0,12.0
12.0,24.0
36.0,72.0
28.0,56.0
53.0,106.0
66.0,132.0
82.0,164.0
40.0,80.0
59.0,118.0
73.0,146.0
98.0,196.0
97.0,194.0
49.0,98.0
11.0,22.0
92.0,184.0
89.0,178.0
42.0,84.0
25.0,50.0
48.0,96.0
56.0,112.0
81.0,162.0
40.0,80.0
5.0,10.0
42.0,84.0
36.0,72.0
74.0,148.0
10.0,20.0
88.0,176.0
87.0,174.0
46.0,92.0
2.0,4.0
71.0,142.0
27.0,54.0
33.0,66.0
59.0,118.0
82.0,164.0
6.0,12.0
14.0,28.0
95.0,190.0
75.0,150.0
48.0,96.0
61.0,122.0
31.0,62.0
9.0,18.0
42.0,84.0
83.0,166.0
90.0,180.0
81.0,162.0
59.0,118.0
22.0,44.0
37.0,74.0
63.0,126.0
88.0,176.0
61.0,122.0
98.0,196.0
9.0,18.0
22.0,44.0
0.0,0.0
18.0,36.0
72.0,144.0
95.0,190.0
